handle,tag,depth,seed,type,language,language_default_policy,lang_confidence,n_msgs,n_posts,n_text_msgs,n_forward_msgs,median_views,subscribers,modal_hour_utc
aeronetnews,cz,0,True,channel,cs,cs,1.0,33,33,33,0,12155,10946,18
casusbellilive,cz,0,True,channel,sk,sk,0.982,4492,3671,3472,971,7184,40463,17
cz24news,cz,0,True,channel,cs,cs,0.991,2914,2718,2675,1,5735,29718,3
dannykollar,cz,0,True,channel,sk,sk,1.0,20,20,18,0,80767,54462,14
datelsk,cz,0,True,empty,unknown,unknown,0.0,0,0,0,0,,7999,
dkbleskovky,cz,0,True,channel,sk,sk,0.904,243,242,210,0,10026,26033,12
ereport,cz,0,True,channel,unknown,unknown,0.0,524,524,524,0,2014,10974,14
harabin,cz,0,True,channel,sk,sk,1.0,758,725,681,576,2610,11308,8
hlavnespravy1,cz,0,True,channel,sk,sk,0.988,1330,1324,1323,1,3521,14319,7
hricalubos,cz,0,True,channel,sk,sk,1.0,5,5,5,0,22111,10281,18
infovojnaofficial,cz,0,True,channel,sk,sk,1.0,357,357,357,0,17876,49790,9
investigativnyblogsk,cz,0,True,channel,sk,sk,0.986,1133,1001,970,250,2847,18115,19
juditalassakova,cz,0,True,channel,sk,sk,1.0,40,39,37,1,14014,17640,8
lenockattt,cz,0,True,empty,unknown,unknown,0.0,0,0,0,0,,21120,
lubosblahasmer,cz,0,True,channel,sk,sk,1.0,75,57,55,0,28924,36065,11
marsalmalinovskij,cz,0,True,channel,cs,cs,0.988,83,69,67,0,5360,20960,16
metapolitika,cz,0,True,channel,sk,sk,1.0,73,67,60,0,9180,15571,19
milan_uhrik,cz,0,True,channel,sk,sk,1.0,70,69,68,7,7675,13002,9
mimisramova,cz,0,True,channel,sk,sk,0.97,586,569,438,0,2201,27578,21
miro_del,cz,0,True,channel,sk,sk,1.0,890,713,713,0,4168,16038,7
miroheredos,cz,0,True,channel,sk,sk,1.0,46,46,40,0,5320,11868,11
miroslavkamensky,cz,0,True,empty,unknown,unknown,0.0,0,0,0,0,,23807,
nect24,cz,0,True,channel,cs,cs,0.997,2217,1855,1837,21,5424,32674,8
otevrisvoumysl,cz,0,True,channel,cs,cs,1.0,25,25,25,2,15059,16747,15
paralelne,cz,0,True,channel,cs,cs,1.0,3,3,3,0,2273,10921,14
pavelkamas,cz,0,True,channel,cs,cs,1.0,23,23,19,1,11962,11897,17
prinasame_nadej,cz,0,True,channel,sk,sk,1.0,34,32,21,1,6959,8700,16
realfikisulik,cz,0,True,empty,unknown,unknown,0.0,0,0,0,0,,22290,
selskyrozum,cz,0,True,channel,cs,cs,0.994,3819,3357,3353,68,2412,12443,19
slobodnyvysielac,cz,0,True,channel,sk,sk,0.993,674,674,419,10,2382,12839,23
slovanskenoviny,cz,0,True,channel,sk,sk,0.991,1912,1822,1793,40,2045,14712,9
slovenskymedved,cz,0,True,empty,unknown,unknown,0.0,0,0,0,0,,17577,
smersd,cz,0,True,channel,sk,sk,1.0,50,49,46,0,7933,14017,17
spravy_slovakia,cz,0,True,empty,unknown,unknown,0.0,0,0,0,0,,11675,
sutajestoksr,cz,0,True,empty,unknown,unknown,0.0,0,0,0,0,,9648,
to_je_nas_svet,cz,0,True,channel,cs,cs,1.0,1301,1254,1254,0,1939,12134,8
tomastaraba,cz,0,True,channel,sk,sk,1.0,8,8,4,0,7023,9046,8
veciverejne,cz,0,True,channel,sk,sk,0.957,224,224,224,0,2670,7716,14
zemavek,cz,0,True,channel,sk,sk,1.0,1808,1733,1731,0,7226,32973,7
zoroslav,cz,0,True,empty,unknown,unknown,0.0,0,0,0,0,,18571,
asupersharij,ru,0,True,channel,ru,ru,0.991,1140,1006,989,0,832194,1598565,8
boris_rozhin,ru,0,True,channel,ru,ru,1.0,2700,1844,1813,895,362946,746799,10
dva_majors,ru,0,True,channel,ru,ru,1.0,1062,879,870,267,80864,1167235,19
karaulny,ru,0,True,channel,ru,ru,1.0,6614,5539,5491,6600,16221,120145,15
legitimniy,ru,0,True,channel,ru,ru,1.0,252,227,227,13,505485,1051272,7
mash,ru,0,True,channel,ru,ru,1.0,570,438,438,110,762887,3120883,11
rvvoenkor,ru,0,True,channel,ru,ru,1.0,2177,1453,1452,65,458812,1470176,19
rybar,ru,0,True,channel,ru,ru,1.0,709,609,586,182,392230,1544655,6
warfakes,ru,0,True,channel,ru,ru,1.0,882,376,371,13,129820,396454,13
wargonzo,ru,0,True,channel,ru,ru,1.0,482,235,235,109,546536,752765,7
africaintel,cz,1,False,channel,en,en,1.0,515,473,466,13,1188,16809,19
akoinak,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,14,
