class,k,latency_floor_s,n_edges,n_unanimous
same,1,0,77690,66846
same,1,300,71318,62081
same,1,3600,50958,45852
same,1,21600,27147,25303
same,1,86400,9205,8693
same,2,0,21840,10996
same,2,300,19354,10117
same,2,3600,12139,7033
same,2,21600,5074,3230
same,2,86400,1312,800
same,3,0,11371,4179
same,3,300,9846,3854
same,3,3600,5754,2570
same,3,21600,2192,1110
same,3,86400,584,267
same,4,0,7343,2264
same,4,300,6298,2084
same,4,3600,3557,1412
same,4,21600,1242,546
same,4,86400,390,151
same,5,0,5257,1428
same,5,300,4426,1299
same,5,3600,2450,875
same,5,21600,830,320
same,5,86400,307,99
same,7,0,3159,753
same,7,300,2620,680
same,7,3600,1401,438
same,7,21600,484,174
same,7,86400,211,58
same,10,0,1831,422
same,10,300,1461,353
same,10,3600,782,230
same,10,21600,276,81
same,10,86400,139,25
cross,1,0,26133,21768
cross,1,300,25425,21268
cross,1,3600,22150,18732
cross,1,21600,16349,13874
cross,1,86400,10783,8900
cross,2,0,8649,4284
cross,2,300,8356,4199
cross,2,3600,7214,3796
cross,2,21600,5349,2874
cross,2,86400,4008,2125
cross,3,0,4651,1570
cross,3,300,4487,1531
cross,3,3600,3875,1418
cross,3,21600,2954,1087
cross,3,86400,2376,878
cross,4,0,3137,813
cross,4,300,3047,802
cross,4,3600,2629,781
cross,4,21600,2112,586
cross,4,86400,1757,498
cross,5,0,2227,440
cross,5,300,2163,447
cross,5,3600,1894,432
cross,5,21600,1528,322
cross,5,86400,1295,283
cross,7,0,1337,181
cross,7,300,1283,176
cross,7,3600,1142,170
cross,7,21600,954,121
cross,7,86400,838,114
cross,10,0,838,92
cross,10,300,807,88
cross,10,3600,725,80
cross,10,21600,607,54
cross,10,86400,532,48
unknown,1,0,1628,1407
unknown,1,300,1524,1334
unknown,1,3600,1221,1113
unknown,1,21600,727,686
unknown,1,86400,254,250
unknown,2,0,476,255
unknown,2,300,434,244
unknown,2,3600,296,188
unknown,2,21600,141,100
unknown,2,86400,27,23
unknown,3,0,216,95
unknown,3,300,188,92
unknown,3,3600,122,71
unknown,3,21600,47,29
unknown,3,86400,5,5
unknown,4,0,108,37
unknown,4,300,94,37
unknown,4,3600,58,28
unknown,4,21600,18,10
unknown,4,86400,1,1
unknown,5,0,74,24
unknown,5,300,68,26
unknown,5,3600,38,21
unknown,5,21600,7,3
unknown,5,86400,0,0
unknown,7,0,34,12
unknown,7,300,28,13
unknown,7,3600,14,8
unknown,7,21600,3,1
unknown,7,86400,0,0
unknown,10,0,11,3
unknown,10,300,8,2
unknown,10,3600,4,1
unknown,10,21600,1,0
unknown,10,86400,0,0
